主字段,章节,等级,知识解析,拓展解析
<div style='text-align: center; font-size: 24px;'><b>白附子</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::温化寒痰药,2,"性味归经::性[[温]]；味[[辛、甘]]；归[[胃、肝]]经；有<span style='color: red;'>毒</span><br>###功效::① [[燥湿化痰]]；<br>② [[祛风止痉]]；<br>③ [[止痛]]；<br>④ [[解毒]]；<br>⑤ [[散结]]<br>###主治::① [[中风痰壅，口眼歪斜，语言謇涩，惊风癫痫，破伤风【*···::祛风痰，定惊搐而解痉*】]]；<br>② [[偏正头痛，痰厥头痛]]；<br>③ [[瘰疬痰核，毒蛇咬伤，痈疽肿毒【*···::""祛风痰常用，逐头面风痰""*】]]","性味归经::性[[温]]；味[[辛、甘]]；归[[胃、肝]]经；有<span style='color: red;'>毒</span><br>###功效::① [[燥湿化痰]]；<br>② [[祛风止痉]]；<br>③ [[止痛]]；<br>④ [[解毒]]；<br>⑤ [[散结]]<br>###主治::① [[中风痰壅，口眼歪斜，语言謇涩，惊风癫痫，破伤风【*···::祛风痰，定惊搐而解痉*】]]；<br>② [[偏正头痛，痰厥头痛]]；<br>③ [[瘰疬痰核，毒蛇咬伤，痈疽肿毒【*···::""祛风痰常用，逐头面风痰""*】]]"
<div style='text-align: center; font-size: 24px;'><b>芥子</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::温化寒痰药,2,性味归经::性[[温]]；味[[辛]]；归[[肺]]经<br>###功效::① [[温肺豁痰]]；<br>② [[利气散结]]；<br>③ [[通络止痛]]<br>###主治::① [[寒痰喘咳，悬饮胸胁胀痛]]；<br>② [[痰滞经络，肢体麻木疼痛，关节肿痛，痰湿流注，痈疽肿毒]]；<br>③ [[冷哮日久【*···::外敷穴位，善散皮里膜外之痰*】]],性味归经::性[[温]]；味[[辛]]；归[[肺]]经<br>###功效::① [[温肺豁痰]]；<br>② [[利气散结]]；<br>③ [[通络止痛]]<br>###主治::① [[寒痰喘咳，悬饮胸胁胀痛]]；<br>② [[痰滞经络，肢体麻木疼痛，关节肿痛，痰湿流注，痈疽肿毒]]；<br>③ [[冷哮日久【*···::外敷穴位，善散皮里膜外之痰*】]]
<div style='text-align: center; font-size: 24px;'><b>旋覆花</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::温化寒痰药,2,性味归经::性[[微温]]；味[[苦辛咸]]；归[[肺脾胃大肠]]经<br>###功效::① [[降气消痰]]；<br>② [[行水止呕]]；<br>③ [[活血通络]]<br>###主治::① [[痰饮壅肺或痰饮蓄结证，风寒咳嗽，胸膈痞闷，喘咳痰多]]；<br>② [[呕吐噫气，心下痞硬]]；<br>③ [[气血不和胸胁痛]],性味归经::性[[微温]]；味[[苦辛咸]]；归[[肺脾胃大肠]]经<br>###功效::① [[降气消痰]]；<br>② [[行水止呕]]；<br>③ [[活血通络]]<br>###主治::① [[痰饮壅肺或痰饮蓄结证，风寒咳嗽，胸膈痞闷，喘咳痰多]]；<br>② [[呕吐噫气，心下痞硬]]；<br>③ [[气血不和胸胁痛]]
<div style='text-align: center; font-size: 24px;'><b>白前</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::温化寒痰药,2,性味归经::性[[微温]]；味[[辛、苦]]；归[[肺]]经<br>###功效::① [[降气]]；<br>② [[消痰]]；<br>③ [[止咳]]<br>###主治::① [[肺气壅实，咳嗽痰多，胸满喘急【*···::性微温而不燥烈，长于祛痰，降肺气以平咳喘，无论属寒属热、外感内伤、新嗽久咳均可用之，尤以痰湿或寒痰阻肺、肺气失降者为宜*】]],性味归经::性[[微温]]；味[[辛、苦]]；归[[肺]]经<br>###功效::① [[降气]]；<br>② [[消痰]]；<br>③ [[止咳]]<br>###主治::① [[肺气壅实，咳嗽痰多，胸满喘急【*···::性微温而不燥烈，长于祛痰，降肺气以平咳喘，无论属寒属热、外感内伤、新嗽久咳均可用之，尤以痰湿或寒痰阻肺、肺气失降者为宜*】]]
<div style='text-align: center; font-size: 24px;'><b>桔梗</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::清化热痰药,2,"性味归经::性[[平]]；味[[苦辛]]；归[[肺]]经<br>###功效::① [[宣肺祛痰]]；<br>② [[利咽排脓]]；<br>③ [[载药上行]]<br>###主治::① [[咳嗽痰多，咯痰不爽，胸闷不畅]]；<br>② [[咽喉肿痛，失音喑哑【*···::利咽开音*】]]；<br>③ [[肺痈吐脓]]；<br>④ [[癃闭，便秘【*···::开宣肺气通利二便，""肺经气分、肺痈要药""*】]]","性味归经::性[[平]]；味[[苦辛]]；归[[肺]]经<br>###功效::① [[宣肺祛痰]]；<br>② [[利咽排脓]]；<br>③ [[载药上行]]<br>###主治::① [[咳嗽痰多，咯痰不爽，胸闷不畅]]；<br>② [[咽喉肿痛，失音喑哑【*···::利咽开音*】]]；<br>③ [[肺痈吐脓]]；<br>④ [[癃闭，便秘【*···::开宣肺气通利二便，""肺经气分、肺痈要药""*】]]"
<div style='text-align: center; font-size: 24px;'><b>川贝母</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::清化热痰药,2,性味归经::性[[微寒]]；味[[苦甘]]；归[[肺心]]经<br>###功效::① [[清热润肺]]；<br>② [[化痰止咳]]；<br>③ [[散结消痈]]<br>###主治::① [[肺热肺燥、肺虚咳嗽，阴虚劳嗽，干咳少痰，痰中带血【*···::性凉而甘兼润肺，尤其用于肺虚内伤久咳，燥痰、痰热咳嗽*】]]；<br>② [[瘰疬，乳痈，肺痈，疮痈肿毒]],性味归经::性[[微寒]]；味[[苦甘]]；归[[肺心]]经<br>###功效::① [[清热润肺]]；<br>② [[化痰止咳]]；<br>③ [[散结消痈]]<br>###主治::① [[肺热肺燥、肺虚咳嗽，阴虚劳嗽，干咳少痰，痰中带血【*···::性凉而甘兼润肺，尤其用于肺虚内伤久咳，燥痰、痰热咳嗽*】]]；<br>② [[瘰疬，乳痈，肺痈，疮痈肿毒]]
<div style='text-align: center; font-size: 24px;'><b>浙贝母</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::清化热痰药,2,性味归经::性[[寒]]；味[[苦]]；归[[肺、心]]经<br>###功效::① [[清热化痰]]；<br>② [[止咳]]；<br>③ [[解毒]]；<br>④ [[散结消痈]]<br>###主治::① [[风热咳嗽，痰热咳嗽]]；<br>② [[瘰疬，瘿瘤，疮毒，肺痈，乳痈【*···::功似川贝偏苦泄，善清热化痰，开郁散结*】]],性味归经::性[[寒]]；味[[苦]]；归[[肺、心]]经<br>###功效::① [[清热化痰]]；<br>② [[止咳]]；<br>③ [[解毒]]；<br>④ [[散结消痈]]<br>###主治::① [[风热咳嗽，痰热咳嗽]]；<br>② [[瘰疬，瘿瘤，疮毒，肺痈，乳痈【*···::功似川贝偏苦泄，善清热化痰，开郁散结*】]]
<div style='text-align: center; font-size: 24px;'><b>瓜蒌</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::清化热痰药,2,"性味归经::性[[寒]]；味[[甘、微苦]]；归[[肺、胃、大肠]]经<br>###功效::① [[清热涤痰]]；<br>② [[宽胸散结]]；<br>③ [[润燥滑肠]]<br>###主治::① [[痰热咳喘，肺热咳嗽，痰浊黄稠【*···::清肺热、润肺燥而化热痰、燥痰*】]]；<br>② [[胸痹心痛，结胸痞满【*···::""治胸痹要药""*】]]；<br>③ [[肺痈，肠痈，乳痈]]；<br>④ [[肠燥便秘]]","性味归经::性[[寒]]；味[[甘、微苦]]；归[[肺、胃、大肠]]经<br>###功效::① [[清热涤痰]]；<br>② [[宽胸散结]]；<br>③ [[润燥滑肠]]<br>###主治::① [[痰热咳喘，肺热咳嗽，痰浊黄稠【*···::清肺热、润肺燥而化热痰、燥痰*】]]；<br>② [[胸痹心痛，结胸痞满【*···::""治胸痹要药""*】]]；<br>③ [[肺痈，肠痈，乳痈]]；<br>④ [[肠燥便秘]]"
<div style='text-align: center; font-size: 24px;'><b>胆南星</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::清化热痰药,2,性味归经::性[[凉]]；味[[苦微辛]]；归[[肺、肝、脾]]经<br>###功效::① [[清热化痰]]；<br>② [[息风定惊]]<br>###主治::① [[痰热咳嗽，咳痰黄稠]]；<br>② [[中风痰迷，癫狂痫病，惊风]],性味归经::性[[凉]]；味[[苦微辛]]；归[[肺、肝、脾]]经<br>###功效::① [[清热化痰]]；<br>② [[息风定惊]]<br>###主治::① [[痰热咳嗽，咳痰黄稠]]；<br>② [[中风痰迷，癫狂痫病，惊风]]
<div style='text-align: center; font-size: 24px;'><b>竹茹</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::清化热痰药,2,性味归经::性[[微寒]]；味[[甘]]；归[[肺、胃、心、胆]]经<br>###功效::① [[清热化痰]]；<br>② [[除烦止呕]]；<br>③ [[安胎]]；<br>④ [[凉血止血]]<br>###主治::① [[肺热咳嗽，痰热咳嗽]]；<br>② [[痰火内扰烦躁，胆火夹痰，惊悸不宁，心烦失眠]]；<br>③ [[中风痰迷，舌强不语]]；<br>④ [[胃热呕吐，妊娠恶阻，胎动不安]]；<br>⑤ [[吐血，衄血，尿血，崩漏]]；<br>⑥ [[伤暑烦渴不止]],性味归经::性[[微寒]]；味[[甘]]；归[[肺、胃、心、胆]]经<br>###功效::① [[清热化痰]]；<br>② [[除烦止呕]]；<br>③ [[安胎]]；<br>④ [[凉血止血]]<br>###主治::① [[肺热咳嗽，痰热咳嗽]]；<br>② [[痰火内扰烦躁，胆火夹痰，惊悸不宁，心烦失眠]]；<br>③ [[中风痰迷，舌强不语]]；<br>④ [[胃热呕吐，妊娠恶阻，胎动不安]]；<br>⑤ [[吐血，衄血，尿血，崩漏]]；<br>⑥ [[伤暑烦渴不止]]
<div style='text-align: center; font-size: 24px;'><b>苦杏仁</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[微温]]；味[[苦]]；归[[肺、大肠]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[降气止咳平喘]]；<br>② [[润肠通便]]<br>###主治::① [[咳喘诸证，胸满痰多【*···::降中兼宣，治咳喘要药，新久寒热咳嗽均可*】]]；<br>② [[肠燥便秘]]；<br>③ [[湿温初起及暑温夹湿之湿重于热]],性味归经::性[[微温]]；味[[苦]]；归[[肺、大肠]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[降气止咳平喘]]；<br>② [[润肠通便]]<br>###主治::① [[咳喘诸证，胸满痰多【*···::降中兼宣，治咳喘要药，新久寒热咳嗽均可*】]]；<br>② [[肠燥便秘]]；<br>③ [[湿温初起及暑温夹湿之湿重于热]]
<div style='text-align: center; font-size: 24px;'><b>紫苏子</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[温]]；味[[辛]]；归[[肺、大肠]]经<br>###功效::① [[降气化痰]]；<br>② [[止咳平喘]]；<br>③ [[润肠通便]]<br>###主治::① [[痰壅气逆咳喘【*···::为治痰壅气逆咳喘之要药*】]]；<br>② [[肠燥便秘]],性味归经::性[[温]]；味[[辛]]；归[[肺、大肠]]经<br>###功效::① [[降气化痰]]；<br>② [[止咳平喘]]；<br>③ [[润肠通便]]<br>###主治::① [[痰壅气逆咳喘【*···::为治痰壅气逆咳喘之要药*】]]；<br>② [[肠燥便秘]]
<div style='text-align: center; font-size: 24px;'><b>百部</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[微温]]；味[[甘苦]]；归[[肺]]经<br>###功效::① [[润肺下气]]；<br>② [[止咳]]；<br>③ [[杀虫]]；<br>④ [[灭虱]]<br>###主治::① [[新久咳嗽，顿咳，肺痨咳嗽]]；<br>② [[头虱、体虱及疥癣，蛲虫，阴道滴虫，阴痒【*···::新久寒热咳嗽均可*】]],性味归经::性[[微温]]；味[[甘苦]]；归[[肺]]经<br>###功效::① [[润肺下气]]；<br>② [[止咳]]；<br>③ [[杀虫]]；<br>④ [[灭虱]]<br>###主治::① [[新久咳嗽，顿咳，肺痨咳嗽]]；<br>② [[头虱、体虱及疥癣，蛲虫，阴道滴虫，阴痒【*···::新久寒热咳嗽均可*】]]
<div style='text-align: center; font-size: 24px;'><b>紫菀</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[温]]；味[[辛、苦]]；归[[肺]]经<br>###功效::① [[润肺下气]]；<br>② [[化痰止咳]]<br>###主治::① [[咳嗽有痰，痰多喘咳，新久咳嗽，劳嗽咯血]]；<br>② [[新久寒热咳嗽均可]]；<br>③ [[肺气壅塞，咳嗽有痰最宜]],性味归经::性[[温]]；味[[辛、苦]]；归[[肺]]经<br>###功效::① [[润肺下气]]；<br>② [[化痰止咳]]<br>###主治::① [[咳嗽有痰，痰多喘咳，新久咳嗽，劳嗽咯血]]；<br>② [[新久寒热咳嗽均可]]；<br>③ [[肺气壅塞，咳嗽有痰最宜]]
<div style='text-align: center; font-size: 24px;'><b>款冬花</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[温]]；味[[辛微苦]]；归[[肺]]经<br>###功效::① [[润肺下气]]；<br>② [[止咳化痰]]<br>###主治::① [[咳嗽有痰]]；<br>② [[痰多喘咳]]；<br>③ [[新久咳嗽]]；<br>④ [[劳嗽咯血]]；<br>⑤ [[长于润肺下气止咳，略具化痰]]；<br>⑥ [[新久寒热咳嗽均可]],性味归经::性[[温]]；味[[辛微苦]]；归[[肺]]经<br>###功效::① [[润肺下气]]；<br>② [[止咳化痰]]<br>###主治::① [[咳嗽有痰]]；<br>② [[痰多喘咳]]；<br>③ [[新久咳嗽]]；<br>④ [[劳嗽咯血]]；<br>⑤ [[长于润肺下气止咳，略具化痰]]；<br>⑥ [[新久寒热咳嗽均可]]
<div style='text-align: center; font-size: 24px;'><b>桑白皮</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[寒]]；味[[甘]]；归[[肺]]经<br>###功效::① [[泻肺平喘]]；<br>② [[利水消肿]]；<br>③ [[清肝降压]]；<br>④ [[止血]]<br>###主治::① [[肺热咳喘【*···::清泻肺火，兼泻肺中水气而平喘咳*】]]；<br>② [[水肿胀满尿少，面目肌肤浮肿]]；<br>③ [[肝阳肝火偏旺之高血压病，衄血，咯血]],性味归经::性[[寒]]；味[[甘]]；归[[肺]]经<br>###功效::① [[泻肺平喘]]；<br>② [[利水消肿]]；<br>③ [[清肝降压]]；<br>④ [[止血]]<br>###主治::① [[肺热咳喘【*···::清泻肺火，兼泻肺中水气而平喘咳*】]]；<br>② [[水肿胀满尿少，面目肌肤浮肿]]；<br>③ [[肝阳肝火偏旺之高血压病，衄血，咯血]]
<div style='text-align: center; font-size: 24px;'><b>葶苈子</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[大寒]]；味[[辛苦]]；归[[肺、膀胱]]经<br>###功效::① [[泻肺平喘]]；<br>② [[利水消肿]]<br>###主治::① [[痰涎壅盛咳喘，胸胁胀闷，不得平卧【*···::泻肺平喘要药，善泻肺中水饮及痰火*】]]；<br>② [[胸腹积水实证，水肿小便不利]],性味归经::性[[大寒]]；味[[辛苦]]；归[[肺、膀胱]]经<br>###功效::① [[泻肺平喘]]；<br>② [[利水消肿]]<br>###主治::① [[痰涎壅盛咳喘，胸胁胀闷，不得平卧【*···::泻肺平喘要药，善泻肺中水饮及痰火*】]]；<br>② [[胸腹积水实证，水肿小便不利]]
<div style='text-align: center; font-size: 24px;'><b>白果</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::止咳平喘药,2,性味归经::性[[平]]；味[[甘苦涩]]；归[[肺肾]]经<br>###功效::① [[敛肺定喘]]；<br>② [[止带缩尿]]<br>###主治::① [[喘咳气逆，痰多【*···::善于敛肺定喘，且有一定化痰之功，为治哮喘痰嗽之常用药*】]]；<br>② [[带下、白浊，遗尿、尿频【*···::除湿泄浊，收涩止带，固精缩尿止遗]]；<br>③ [[也治肾气不固而梦遗滑精*】]],性味归经::性[[平]]；味[[甘苦涩]]；归[[肺肾]]经<br>###功效::① [[敛肺定喘]]；<br>② [[止带缩尿]]<br>###主治::① [[喘咳气逆，痰多【*···::善于敛肺定喘，且有一定化痰之功，为治哮喘痰嗽之常用药*】]]；<br>② [[带下、白浊，遗尿、尿频【*···::除湿泄浊，收涩止带，固精缩尿止遗]]；<br>③ [[也治肾气不固而梦遗滑精*】]]
<div style='text-align: center; font-size: 24px;'><b>朱砂</b></div>,中药学::常见药 大纲第1部分:: 安神药::重镇安神药,2,"性味归经::性[[微寒]]；味[[甘]]；归[[心]]经；有<span style='color: red;'>毒</span><br>###功效::① [[清心镇惊]]；<br>② [[安神]]；<br>③ [[明目]]；<br>④ [[解毒]]<br>###主治::① [[心神不宁，心悸易惊，失眠多梦]]；<br>② [[惊风，癫痫发狂【*···::镇惊止痉，宜用于温热病热入心包或痰热内闭，高热烦躁，神昏谵语，惊厥抽搐*】]]；<br>③ [[视物昏花]]；<br>④ [[疮疡肿毒，咽痛口疮，喉痹【*···::""清心镇惊安神要药""*】]]","性味归经::性[[微寒]]；味[[甘]]；归[[心]]经；有<span style='color: red;'>毒</span><br>###功效::① [[清心镇惊]]；<br>② [[安神]]；<br>③ [[明目]]；<br>④ [[解毒]]<br>###主治::① [[心神不宁，心悸易惊，失眠多梦]]；<br>② [[惊风，癫痫发狂【*···::镇惊止痉，宜用于温热病热入心包或痰热内闭，高热烦躁，神昏谵语，惊厥抽搐*】]]；<br>③ [[视物昏花]]；<br>④ [[疮疡肿毒，咽痛口疮，喉痹【*···::""清心镇惊安神要药""*】]]"
<div style='text-align: center; font-size: 24px;'><b>磁石</b></div>,中药学::常见药 大纲第1部分:: 安神药::重镇安神药,2,"性味归经::性[[寒]]；味[[咸]]；归[[肝、心、肾]]经<br>###功效::① [[镇惊安神]]；<br>② [[平肝潜阳]]；<br>③ [[聪耳明目]]；<br>④ [[纳气平喘]]<br>###主治::① [[心神不宁，惊悸失眠，癫痫]]；<br>② [[肝阳上亢，头晕目眩]]；<br>③ [[视物昏花，耳鸣耳聋]]；<br>④ [[肾虚喘促【*···::益肾，""重镇补益并举""*】]]","性味归经::性[[寒]]；味[[咸]]；归[[肝、心、肾]]经<br>###功效::① [[镇惊安神]]；<br>② [[平肝潜阳]]；<br>③ [[聪耳明目]]；<br>④ [[纳气平喘]]<br>###主治::① [[心神不宁，惊悸失眠，癫痫]]；<br>② [[肝阳上亢，头晕目眩]]；<br>③ [[视物昏花，耳鸣耳聋]]；<br>④ [[肾虚喘促【*···::益肾，""重镇补益并举""*】]]"
